"","X.1","X","Y","OBJECTID","ACCIDENT_NO","ABS_CODE","ACCIDENT_STATUS","ACCIDENT_DATE","ACCIDENT_TIME","ALCOHOLTIME","ACCIDENT_TYPE","DAY_OF_WEEK","DCA_CODE","HIT_RUN_FLAG","LIGHT_CONDITION","POLICE_ATTEND","ROAD_GEOMETRY","SEVERITY","SPEED_ZONE","RUN_OFFROAD","NODE_ID","LONGITUDE","LATITUDE","NODE_TYPE","LGA_NAME","REGION_NAME","VICGRID_X","VICGRID_Y","TOTAL_PERSONS","INJ_OR_FATAL","FATALITY","SERIOUSINJURY","OTHERINJURY","NONINJURED","MALES","FEMALES","BICYCLIST","PASSENGER","DRIVER","PEDESTRIAN","PILLION","MOTORIST","UNKNOWN","PED_CYCLIST_5_12","PED_CYCLIST_13_18","OLD_PEDESTRIAN","OLD_DRIVER","YOUNG_DRIVER","ALCOHOL_RELATED","UNLICENCSED","NO_OF_VEHICLES","HEAVYVEHICLE","PASSENGERVEHICLE","MOTORCYCLE","PUBLICVEHICLE","DEG_URBAN_NAME","DEG_URBAN_ALL","LGA_NAME_ALL","REGION_NAME_ALL","SRNS","SRNS_ALL","RMA","RMA_ALL","DIVIDED","DIVIDED_ALL","STAT_DIV_NAME","dowval"
"2",27627,2519129.911,2416761.244,27627,"T20160010148","ABS to receive accident","Finished","2016/05/09","06:30:00","No","Collision with vehicle","Monday","HEAD ON (NOT OVERTAKING)","No","Dark No street lights","No","Not at intersection","Other injury accident","50 km/hr","No",304505,145.21708157,-37.74991336,"Non-Intersection","MANNINGHAM","METROPOLITAN SOUTH EAST REGION",2519129.911,2416761.244,3,1,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,"No",0,2,0,2,0,0,"MELB_URBAN","MELB_URBAN,RURAL_VICTORIA","MANNINGHAM","METROPOLITAN SOUTH EAST REGION","","","Local Road","Local Road","Undivided","Undivided","Metro",1
"5",39473,2493211.058,2426538.744,39473,"T20170002304","ABS to receive accident","Finished","2017/02/05","23:10:00","Yes","Collision with vehicle","Sunday","LEFT REAR","No","Dark Street lights on","Yes","Not at intersection","Serious injury accident","80 km/hr","No",314327,144.92304677,-37.66196868,"Non-Intersection","HUME","METROPOLITAN NORTH WEST REGION",2493211.058,2426538.744,4,1,0,1,0,3,2,2,0,2,2,0,0,0,0,0,0,0,0,2,"No",0,2,0,2,0,0,"MELB_URBAN","MELB_URBAN","HUME","METROPOLITAN NORTH WEST REGION","","","Arterial Other","Arterial Other","Divided","Divided","Metro",7
"8",16057,2504852.702,2392586.911,16057,"T20150015856","ABS to receive accident","Finished","2015/07/29","07:40:00","No","Struck Pedestrian","Wednesday","FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT","Yes","Dusk/Dawn","No","Not at intersection","Other injury accident","40 km/hr","No",292560,145.05517399,-37.96788571,"Non-Intersection","KINGSTON","METROPOLITAN SOUTH EAST REGION",2504852.702,2392586.911,2,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"No",0,1,0,0,0,0,"MELB_URBAN","MELB_URBAN","BAYSIDE,KINGSTON","METROPOLITAN SOUTH EAST REGION","","","Local Road","Local Road","Undivided","Undivided","Metro",3
"10",51769,2500333.568,2409109.186,51769,"T20170014379","ABS to receive accident","Finished","2017/07/24","18:00:00","Yes","Collision with vehicle","Monday","RIGHT THROUGH","Yes","Unk.","No","Cross intersection","Other injury accident","Not known","No",37263,145.00378877,-37.8190408,"Intersection","YARRA","METROPOLITAN NORTH WEST REGION",2500333.568,2409109.186,2,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"No",0,2,0,0,0,0,"MELB_URBAN","MELB_URBAN","YARRA","METROPOLITAN NORTH WEST REGION","C","C","Arterial Other","Arterial Other,Local Road","Divided","Undivided,Divided","Metro",1
"11",45857,2493068.846,2412611.545,45857,"T20180000168","ABS to receive accident","Finished","2017/12/01","21:05:00","Yes","No collision and no object struck","Friday","OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)","No","Dark Street lights on","No","Cross intersection","Other injury accident","60 km/hr","No",471,144.92136597,-37.78745996,"Intersection","MELBOURNE","METROPOLITAN NORTH WEST REGION",2493068.846,2412611.545,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"No",0,1,0,0,1,0,"MELB_URBAN","MELB_URBAN","MELBOURNE,MOONEE VALLEY","METROPOLITAN NORTH WEST REGION","","","Arterial Other","Arterial Other","Undivided","Undivided","Metro",5
"13",53599,2501313.3653,2427533.1198,53599,"T20170018311","Non ABS accident","Finished","2017/08/11","17:15:00","Yes","Collision with vehicle","Friday","RIGHT THROUGH","No","Dusk/Dawn","No","Cross intersection","Other injury accident","40 km/hr","No",322609,145.0149445,-37.65307012,"Off Road","WHITTLESEA","METROPOLITAN NORTH WEST REGION",2501313.36532275,2427533.11975794,2,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,"No",0,2,0,2,0,0,"MELB_URBAN","MELB_URBAN","WHITTLESEA","METROPOLITAN NORTH WEST REGION","","","","","","","Metro",5
"14",10509,2482548.35,2413216.663,10509,"T20150005460","ABS to receive accident","Finished","2015/03/14","19:30:00","Yes","Collision with vehicle","Saturday","CROSS TRAFFIC(INTERSECTIONS ONLY)","No","Dusk/Dawn","Yes","Cross intersection","Other injury accident","50 km/hr","No",64454,144.80186446,-37.78186698,"Intersection","BRIMBANK","METROPOLITAN NORTH WEST REGION",2482548.35,2413216.663,5,3,0,0,3,2,1,4,0,3,2,0,0,0,0,0,0,0,0,0,"No",0,2,0,2,0,0,"MELB_URBAN","MELB_URBAN","BRIMBANK","METROPOLITAN NORTH WEST REGION","","","Local Road","Local Road","Undivided","Undivided","Metro",6
"15",38752,2482682.941,2408538.889,38752,"T20160019623","ABS to receive accident","Finished","2016/08/09","19:00:00","Yes","Collision with vehicle","Tuesday","VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY","No","Dark Street lights on","Yes","Not at intersection","Serious injury accident","70 km/hr","No",317785,144.80333195,-37.82409172,"Non-Intersection","WYNDHAM","METROPOLITAN NORTH WEST REGION",2482682.941,2408538.889,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,"No",0,2,0,1,0,0,"MELB_URBAN","MELB_URBAN","WYNDHAM","METROPOLITAN NORTH WEST REGION","","","Local Road","Local Road","Undivided","Undivided","Metro",2
"19",33052,2518804.927,2404803.317,33052,"T20160020392","ABS to receive accident","Finished","2016/09/18","23:30:00","Yes","No collision and no object struck","Sunday","OFF CARRIAGEWAY TO RIGHT","No","Dark Street lights on","Yes","Not at intersection","Other injury accident","80 km/hr","Yes",308527,145.21374694,-37.85769645,"Non-Intersection","KNOX","METROPOLITAN SOUTH EAST REGION",2518804.927,2404803.317,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"No",0,1,0,0,1,0,"MELB_URBAN","MELB_URBAN","KNOX","METROPOLITAN SOUTH EAST REGION","","","Arterial Other","Arterial Other","Divided","Divided","Metro",7
"23",27770,2343429.078,2456047.182,27770,"T20160010629","ABS to receive accident","Finished","2016/05/13","19:15:00","Yes","collision with some other object","Thursday","STRUCK OBJECT ON CARRIAGEWAY","No","Dark No street lights","Yes","Not at intersection","Other injury accident","80 km/hr","No",303630,143.2317699,-37.38299638,"Non-Intersection","ARARAT","WESTERN REGION",2343429.078,2456047.182,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"No",0,1,0,1,0,0,"RURAL_VICTORIA","RURAL_VICTORIA","ARARAT","WESTERN REGION","","","Local Road","Local Road","Undivided","Undivided","Country",4
